id,startLocation_18,traffic_18,x_18,y_18,time_18,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
18,startDown,turnRight,25,8,77,1,0,1,0,0,0,0,0
18,startDown,turnRight,25,9,78,0,1,0,0,0,0,0,0
18,startDown,turnRight,24,9,79,0,1,0,0,0,0,0,0
18,startDown,turnRight,23,9,80,0,1,0,0,0,0,0,0
18,startDown,turnRight,22,9,81,0,1,0,0,0,0,0,0
18,startDown,turnRight,21,9,82,0,1,0,0,0,0,0,0
18,startDown,turnRight,20,9,83,0,1,0,0,0,0,0,0
18,startDown,turnRight,19,9,84,0,0,0,0,0,1,0,0
18,startDown,turnRight,18,9,85,0,0,0,0,0,1,0,0
18,startDown,turnRight,17,9,86,0,0,0,0,0,1,0,0
18,startDown,turnRight,17,9,87,0,0,0,0,0,1,0,0
18,startDown,turnRight,17,9,88,0,0,0,0,0,1,0,0
18,startDown,turnRight,17,9,89,0,0,0,0,0,1,0,0
18,startDown,turnRight,17,9,90,0,0,0,0,0,0,0,1
18,startDown,turnRight,16,9,91,0,0,0,0,0,0,0,1
18,startDown,turnRight,15,9,92,0,0,0,0,0,0,0,1
18,startDown,turnRight,14,9,93,0,0,0,0,0,0,0,1
18,startDown,turnRight,13,9,94,0,0,0,0,0,0,0,1
18,startDown,turnRight,13,10,95,0,0,0,0,0,0,0,1
18,startDown,turnRight,13,11,96,0,0,0,1,0,0,0,0
18,startDown,turnRight,13,12,97,0,0,0,1,0,0,0,0
18,startDown,turnRight,13,13,98,0,0,0,1,0,0,0,0
18,startDown,turnRight,13,14,99,0,0,0,1,0,0,0,0
18,startDown,turnRight,13,15,100,0,0,0,1,0,0,0,0
18,startDown,turnRight,13,16,101,0,0,0,1,0,0,0,0
18,startDown,turnRight,13,17,102,0,0,0,0,1,0,1,0
